,Volcano_Name,Network,Station,Latitude,Longitude
0,Mt_Rainier,UW,RCS,46.870831,-121.732307
1,Mt_Rainier,UW,RCM,46.83564,-121.732979
2,Mt_Rainier,CC,RUSH,46.90305,-121.94419
3,Mt_Rainier,CC,OBSR,46.899719,-121.815331
4,Mt_Rainier,UW,FMW,46.941914,-121.671463
5,Mt_Rainier,CC,PANH,46.859032,-121.642592
6,Mt_Rainier,UW,RER,46.81905,-121.842133
7,Mt_Rainier,CC,SIFT,46.86683,-121.95329
8,Mt_Rainier,CC,PR05,46.841723,-121.948863
9,Mt_Rainier,UW,STAR,46.850849,-121.792953
10,Mt_Rainier,CC,ARAT,46.789,-121.853
11,Mt_Rainier,UW,RSU,46.853161,-121.764259
12,Mt_Rainier,CC,PARA,46.786441,-121.742195
13,Mt_Rainier,CC,SR41,46.88668,-121.536642
14,Mt_Rainier,UW,LON,46.750599,-121.809601
15,Mt_Rainier,CC,KAUT,46.730263,-121.857381
16,Mt_Rainier,CC,GTWY,46.740208,-121.916966
17,Mt_Rainier,UW,ASF,46.75988,-122.027771
18,Mt_Rainier,UW,RSH,46.812092,-121.529671
19,Mt_Rainier,CC,PR03,46.903433,-122.032691
20,Mt_Rainier,CC,PR01,46.910103,-122.037586
21,Mt_Rainier,CC,PR02,46.918303,-122.048695
22,Mt_Rainier,UW,MHL,46.88221,-122.065231
23,Mt_Rainier,CC,PR04,46.929773,-121.988592
24,Mt_Rainier,UW,RVC,46.94408,-121.97419
25,Mt_Rainier,CC,VOIT,46.96636,-121.98328
26,Mt_Rainier,CC,CRBN,46.988131,-121.961063
27,Mt_Rainier,UW,FGM,47.07563,-121.76387
28,Mt_Rainier,CC,SR41,46.88668,-121.536642
29,Mt_Rainier,UW,RSH,46.812092,-121.529671
30,Mt_Rainier,CC,OPCH,46.731288,-121.5713
31,Mt_Rainier,UW,WPW,46.698639,-121.537338
32,Mt_St_Helens,CC,SEP,46.19978,-122.190857
33,Mt_St_Helens,CC,REM,46.2002,-122.1855
34,Mt_St_Helens,CC,VALT,46.214218,-122.189247
35,Mt_St_Helens,CC,SUG,46.215549,-122.176262
36,Mt_St_Helens,CC,SWF2,46.178349,-122.216766
37,Mt_St_Helens,UW,SHW,46.19364,-122.23492
38,Mt_St_Helens,UW,HSR,46.174278,-122.180649
39,Mt_St_Helens,UW,EDM,46.19717,-122.15121
40,Mt_St_Helens,CC,LOO,46.22375,-122.18439
41,Mt_St_Helens,CC,SEND,46.193501,-122.185432
42,Mt_St_Helens,CC,SPN5,46.194698,-122.18837
43,Mt_St_Helens,CC,AHAB,46.19479,-122.187027
44,Mt_St_Helens,CC,RAFT,46.195679,-122.186317
45,Mt_St_Helens,CC,WESG,46.195831,-122.193748
46,Mt_St_Helens,UW,GOA,46.197189,-122.185097
47,Mt_St_Helens,CC,MIBL,46.197319,-122.186913
48,Mt_St_Helens,CC,BLIS,46.197472,-122.186569
49,Mt_St_Helens,CC,MIDE,46.19775,-122.187439
50,Mt_St_Helens,UW,SEP,46.200211,-122.190598
51,Mt_St_Helens,UW,DIO,46.200668,-122.190369
52,Mt_St_Helens,UW,NSP,46.200939,-122.188148
53,Mt_St_Helens,UW,SOA,46.200111,-122.184258
54,Mt_St_Helens,UW,REM,46.199001,-122.185371
55,Mt_St_Helens,UW,ASH,46.200668,-122.185471
56,Mt_St_Helens,UW,DOG,46.206001,-122.176208
57,Mt_St_Helens,UW,ROA,46.204029,-122.18985
58,Mt_St_Helens,CC,SWFL,46.18867,-122.20203
59,Mt_St_Helens,UW,YEL,46.209549,-122.188988
60,Mt_St_Helens,UW,NWD,46.209171,-122.200706
61,Mt_St_Helens,UW,DIG,46.21233,-122.187042
62,Mt_St_Helens,UW,SUG,46.215549,-122.176262
63,Mt_St_Helens,CC,GUAC,46.2192,-122.19233
64,Mt_St_Helens,UW,TIM,46.226501,-122.155869
65,Mt_St_Helens,CC,HOA,46.24178,-122.19183
66,Mt_St_Helens,CC,STD,46.23749,-122.22421
67,Mt_St_Helens,UW,STD,46.23761,-122.223961
68,Mt_St_Helens,UW,JUN,46.14706,-122.152428
69,Mt_St_Helens,UW,SPL,46.265831,-122.153671
70,Mt_St_Helens,CC,JRO,46.27527,-122.21826
71,Mt_St_Helens,CC,NFT,46.27,-122.25611
72,Mt_St_Helens,UW,CWC,46.279171,-122.278
73,Mt_St_Helens,CC,UNFR,46.27251,-122.291983
74,Mt_St_Helens,CC,MAR,46.28532,-122.29667
75,Mt_St_Helens,UW,ELK,46.305389,-122.342049
76,Mt_St_Helens,UW,SFT,46.211498,-122.357552
77,Mt_St_Helens,UW,FLT,46.189079,-122.35746
78,Mt_St_Helens,UW,FL2,46.19622,-122.351486
79,Mt_St_Helens,UW,SBL,46.340279,-122.045921
80,Mt_St_Helens,UW,SCB,46.208,-122.055038
81,Mt_St_Helens,UW,MUD,46.176689,-122.040962
82,Mt_St_Helens,UW,CDF,46.11689,-122.046227
83,Mt_St_Helens,UW,APE,46.099461,-122.207497
84,Mt_St_Helens,UW,LVP,46.065948,-122.401932
85,Mt_Adams,UW,ASR,46.15259,-121.60164
86,Mt_Adams,UW,MAS,46.144562,-121.593063
87,Mt_Adams,CC,AWST,46.14465,-121.77136
88,Mt_Baker,UW,MBW,48.78407,-121.90145
89,Mt_Baker,UW,MB2,48.78384,-121.900932
90,Mt_Baker,UW,SHUK,48.85284,-121.67695
91,Mt_Baker,UW,PUBD,48.652599,-121.688091
92,Mt_Baker,UW,MJO1,48.582323,-121.938001
93,Mt_Baker,UW,SAXON,48.683288,-122.160842
94,Mt_Baker,UW,DMNG,48.82545,-122.21451
95,Mt_Baker,UW,MBKE,48.916377,-122.14175
Glacier_Peak,Glacier_Peak,UW,GPW,48.117901,-121.137901
0,Mt_Hood,CC,BRSP,45.40155,-121.70843
1,Mt_Hood,CC,YOCR,45.379178,-121.743539
2,Mt_Hood,CC,PALM,45.358574,-121.705536
3,Mt_Hood,CC,TIMB,45.33572,-121.710358
4,Mt_Hood,UW,HOOD,45.322262,-121.650932
5,Mt_Hood,CC,HIYU,45.43523,-121.807396
6,Mt_Hood,UW,VLL,45.463169,-121.680351
7,Mt_Hood,UW,TDH,45.289669,-121.791519
8,Mt_Hood,CC,SHRK,45.464317,-121.52877
9,Mt_Hood,UW,VFP,45.317902,-121.46627
10,Mt_Hood,UW,VBE,45.060169,-121.588013
11,Mt_Hood,UW,BULL,45.44589,-122.15589
12,Mt_Hood,UO,LOCK,45.67615,-121.87747
13,Mt_Hood,UO,JESE,45.242199,-121.316704
14,Mt_Hood,UW,MAUP,45.1762,-121.07912
15,Mt_Hood,UW,AUG,45.73595,-121.68174
0,Newberry,CC,NORM,43.73896,-121.252678
1,Newberry,UW,NN21,43.73317,-121.289879
2,Newberry,CC,CPCO,43.72201,-121.23319
3,Newberry,UW,NCO,43.703838,-121.139458
4,Newberry,CC,SVIC,43.643082,-121.253273
5,Newberry,UW,NN19,43.7183,-121.306953
6,Newberry,CC,TMBU,43.60189,-121.14451
7,Newberry,CC,SWNB,43.67274,-121.35535
8,Newberry,CC,ASBU,43.82056,-121.368401
9,Newberry,UO,PINE,43.79211,-120.94066
10,Newberry,UW,BEND,44.06673,-121.327797
11,Newberry,UW,MOON,44.051552,-121.669479
12,Newberry,UO,TOOM,43.284901,-121.234703